Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude
As Salam,Metro Station,3,4.7,46.8112005,24.7227015
King Salman Park,Metro Station,1,4,46.7009143,24.728193
King Salman Park,Metro Station,1,4,46.7009592,24.7283317
Al Wurud,Metro Station,1,5,46.6770012,24.7332599
Al Wurud,Metro Station,4,5,46.677091,24.7333496
King Fahd District 2,Metro Station,3,5,46.6635085,24.7365806
King Fahd District 2,Metro Station,4,5,46.6634546,24.7366132
King Abdulaziz Road,Metro Station,2,5,46.6854992,24.7367927
King Abdulaziz Road,Metro Station,1,5,46.6853555,24.7368253
Ministry of Education,Metro Station,1,5,46.6948417,24.7401133
Ministry of Education,Metro Station,1,4,46.6947968,24.7402112
Ministry of Education,Metro Station,1,1,46.694689,24.740611
Ministry of Education,Metro Station,4,5,46.6947339,24.7407334
Khurais Road,Metro Station,3,4.3,46.7987229,24.740717
Khurais Road,Metro Station,1,5,46.7988127,24.740717
King Fahd District,Metro Station,2,4.5,46.6591427,24.745196
King Fahd District,Metro Station,3,5,46.6590259,24.7453184
An Nuzhah,Metro Station,3,2.3,46.712269,24.7480677
An Nuzhah,Metro Station,1,5,46.712296,24.7481901
Al Murooj,Metro Station,2,3,46.6544534,24.7545288
Al Murooj,Metro Station,2,5,46.6543726,24.7545696
Riyadh Exhibition Center,Metro Station,,,46.7271092,24.7545206
Riyadh Exhibition Center,Metro Station,1,5,46.7271092,24.7546022
Al Andalus,Metro Station,,,46.7903506,24.7567803
Al Andalus,Metro Station,4,5,46.7904404,24.7567803
Kafd,Metro Station,15,4.7,46.6432964,24.7671807
Khalid Bin Alwaleed Road,Metro Station,1,5,46.7588826,24.7676049
Khalid Bin Alwaleed Road,Metro Station,1,5,46.7591611,24.7678006
Al Hamra,Metro Station,,,46.7766872,24.775949
Al Hamra,Metro Station,,,46.7767052,24.7760958
Al Hamra,Metro Station,2,5,46.776777,24.7763895
Al Hamra,Metro Station,,,46.7766603,24.7764873
Al Khaleej,Metro Station,1,5,46.7940337,24.7818785
Al Khaleej,Metro Station,1,5,46.7944738,24.7822455
Ar Rabi,Metro Station,,,46.6601128,24.7862174
Ar Rabi,Metro Station,3,4.7,46.6601577,24.7862337
Granadia,Metro Station,3,4.7,46.7292023,24.7864457
Granadia,Metro Station,1,5,46.7292831,24.7864947
Al Yarmuk,Metro Station,1,5,46.7662398,24.7912982
Al Yarmuk,Metro Station,6,4.8,46.7663206,24.7913227
Ishbiliyah,Metro Station,4,5,46.8111286,24.7924073
Ishbiliyah,Metro Station,,,46.81094,24.7924318
King Fahd Sport City,Metro Station,4,5,46.8365959,24.7930679
King Fahd Sport City,Metro Station,6,5,46.8365869,24.7932228
Uthman Bin Affan Road,Metro Station,1,5,46.6959646,24.8013859
Uthman Bin Affan Road,Metro Station,9,5,46.6962161,24.8014266
Sabic,Metro Station,2,5,46.7095202,24.8070777
Sabic,Metro Station,12,5,46.7095831,24.807151
Dr Sulaiman Al Habib,Metro Station,5,4.2,46.6257792,24.8114727
Dr Sulaiman Al Habib,Metro Station,9,3.7,46.6256894,24.8115869
SAB Bank,Metro Station,4,2.8,46.6165805,24.8294509
SAB Bank,Metro Station,8,4,46.6167691,24.8294916
Metro Station A1,Metro Station,41,4.3,46.7215112,24.8385361
Pnu 1,Metro Station,,,46.7174164,24.8414022
Pnu 1,Metro Station,,,46.7173804,24.8416876
Metro Station A2,Metro Station,50,4.3,46.7193567,24.8418132
Metro Station A10,Metro Station,47,4.1,46.7232476,24.8424089
Metro Station F1,Metro Station,44,3.9,46.7245964,24.8494325
Metro Station S1,Metro Station,31,4.2,46.7114199,24.8548059
Metro Station 4,Metro Station,78,4.2,46.7171533,24.8555989
Metro Station A7,Metro Station,67,4.1,46.7209859,24.8561417
Princess Noura University 2,Metro Station,,,46.7045615,24.8596532
A5,Metro Station,44,4.3,46.7164815,24.8594739
METRO STATION A6,Metro Station,46,4.3,46.7203437,24.859993
Metro Station F2,Metro Station,43,4.2,46.7243668,24.864254
Airport T5,Metro Station,2,5,46.7102298,24.9408001
Airport T5,Metro Station,2,5,46.7103197,24.9407838
Airport T3-4,Metro Station,6,4.7,46.7022528,24.9559904
Airport T3-4,Metro Station,1,5,46.702154,24.9560474
Airport T1-2,Metro Station,4,2.5,46.6989919,24.9609991
Airport T1-2,Metro Station,,,46.6990817,24.9610154
Metro Station 4,Metro Station,78,4.2,46.7171533,24.8555989
Subway,Metro Station,703,4,46.6559547,24.7955921
Subway,Metro Station,305,3.5,46.711215,24.778002
Jeddah Road,Metro Station,4,4,46.5435474,24.5914477
Ministry of Interior,Metro Station,0,0,46.6949136,24.6744353
Subway,Metro Station,683,3.9,46.683705,24.755827
Princess Noura University 2,Metro Station,0,0,46.7045615,24.8596532
