Index,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Comments,التعليقات,Sequence of the stops,geo_point_2d
44,Harun Ar Rashid Road,طريق هارون الرشيد,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,"Modification on the 26.03.2025, the English name of the station has been changed from ""Harun Ar Rashid Rd."" to ""Harun Ar Rashid Road"".",تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”Harun Ar Rashid Rd.“ إلى ”Harun Ar Rashid Road“.,59,"24.68608501392891, 46.79601710504106"
27,An Naseem,النسيم,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,,,60,"24.70026793259499, 46.82781400965195"
73,PNU1,جامعة الأميرة نورة 1,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,"Modification on the 26.03.2025, the English name of the station has been changed from ""Princess Nourah University 1"" to ""PNU1"".",تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”Princess Nourah University 1“ إلى ”PNU1“.,67,"24.84039655903143, 46.71668238777214"
75,PNU2,جامعة الأميرة نورة 2,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,"Modification on the 26.03.2025, the English name of the station has been changed from ""Princess Nourah University 2"" to ""PNU2"".",تعديل في 26.03.2025، تم تغيير اسم المحطة باللغة الإنجليزية من ”Princess Nourah University 2“ إلى ”PNU2“.,68,"24.85983420999368, 46.70431707873432"
93,Airport T5,الصالة 5,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,"Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 5"" to ""Airport T5"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 5"" إلى ""Airport T5"".",69,"24.94295453599951, 46.70826370485601"
66,Ministry of Defense,وزارة الدفاع,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,"Modification on the 26.03.2025, the English name of the station has been changed from ""MODA"" to ""Ministry of Defence"".","تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”""MODA"" إلى ”Ministry of Defence“.",75,"24.66712507970303, 46.71825678997175"
42,GOSI,التأمينات الاجتماعية,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,,,77,"24.686692275556, 46.71819918138066"
84,King Salman Park,حديقة الملك سلمان,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,,,82,"24.72833810456862, 46.7010605218833"
31,Ar Rabi,الربيع,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,,,85,"24.78629157966825, 46.66057921262878"
98,Uthman Bin Affan Road,طريق عثمان بن عفان,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,,,86,"24.80050291216557, 46.69634901482668"
